game_id,date,season,game_type,team,opponent,team_win,wembanyama_points,wembanyama_player_ts_pct,wembanyama_player_efg_pct,wembanyama_fta,wembanyama_rebounds,wembanyama_blocks,wembanyama_assists,wembanyama_turnovers,wembanyama_pf,wembanyama_plus_minus,team_bench_points,team_bench_rebounds,team_bench_assists,team_bench_plus_minus,opponent_bench_points,opponent_bench_rebounds,opponent_bench_assists,opponent_bench_plus_minus,bench_margin,opp_fg3a,opp_fg3_pct
22401197,2025-04-13,2024-25,regular_season,SAS,TOR,1,,,,,,,,,,,35,15,8,12,24,2,1,-10,11,39,0.359
22500004,2025-10-22,2025-26,regular_season,SAS,DAL,1,40.0,0.7739938080495357,0.7380952380952381,11.0,15.0,3.0,1.0,0.0,4.0,31.0,38,19,10,43,31,8,16,-62,7,21,0.429
22500095,2025-10-24,2025-26,regular_season,SAS,NOP,1,29.0,0.58562197092084,0.5652173913043478,4.0,11.0,9.0,2.0,0.0,6.0,-12.0,53,27,6,-30,16,11,5,-21,37,32,0.313
22500105,2025-10-26,2025-26,regular_season,SAS,BKN,1,31.0,0.5615942028985507,0.5,15.0,14.0,6.0,4.0,2.0,3.0,13.0,26,10,9,17,27,12,11,-1,-1,50,0.32
22500118,2025-10-27,2025-26,regular_season,SAS,TOR,1,24.0,0.9677419354838709,0.875,10.0,15.0,1.0,4.0,4.0,1.0,35.0,31,15,5,0,39,7,12,-30,-8,32,0.375
22500141,2025-10-30,2025-26,regular_season,SAS,MIA,1,27.0,0.5090497737556561,0.45652173913043476,8.0,18.0,5.0,6.0,3.0,3.0,3.0,30,8,7,4,11,13,12,-31,19,38,0.395
22500154,2025-11-02,2025-26,regular_season,SAS,PHX,0,9.0,0.32142857142857145,0.32142857142857145,0.0,9.0,4.0,2.0,6.0,4.0,-3.0,57,14,9,23,50,16,11,-60,7,33,0.576
22500179,2025-11-05,2025-26,regular_season,SAS,LAL,0,19.0,0.5042462845010616,0.35714285714285715,11.0,8.0,1.0,3.0,5.0,6.0,-2.0,38,8,4,-16,21,6,4,1,17,31,0.323
22500032,2025-11-07,2025-26,regular_season,SAS,HOU,1,22.0,0.5901287553648068,0.5,6.0,8.0,2.0,4.0,4.0,5.0,5.0,24,11,7,-21,26,17,4,-18,-2,27,0.481
22500188,2025-11-08,2025-26,regular_season,SAS,NOP,1,18.0,0.47368421052631576,0.47368421052631576,0.0,18.0,3.0,3.0,5.0,2.0,5.0,37,14,12,8,22,18,5,-46,15,38,0.395
22500202,2025-11-10,2025-26,regular_season,SAS,CHI,1,38.0,0.811965811965812,0.7368421052631579,10.0,12.0,5.0,5.0,3.0,4.0,13.0,36,21,6,-12,28,18,6,21,8,38,0.421
22500220,2025-11-12,2025-26,regular_season,SAS,GSW,0,31.0,0.6290584415584416,0.5681818181818182,6.0,15.0,1.0,10.0,8.0,5.0,-9.0,27,15,4,-14,20,15,6,-15,7,57,0.368
22500047,2025-11-14,2025-26,regular_season,SAS,GSW,0,26.0,0.5824372759856631,0.5476190476190477,3.0,12.0,3.0,4.0,3.0,1.0,6.0,27,15,5,7,19,13,3,5,8,45,0.378
22500234,2025-11-16,2025-26,regular_season,SAS,SAC,1,,,,,,,,,,,34,26,16,-6,14,5,3,-30,20,33,0.364
22500252,2025-11-18,2025-26,regular_season,SAS,MEM,1,,,,,,,,,,,34,18,7,22,31,26,13,-57,3,39,0.308
22500267,2025-11-20,2025-26,regular_season,SAS,ATL,1,,,,,,,,,,,33,17,13,13,33,12,11,-29,0,37,0.541
22500281,2025-11-23,2025-26,regular_season,SAS,PHX,0,,,,,,,,,,,30,20,5,-44,23,17,8,8,7,38,0.368
22500067,2025-11-26,2025-26,regular_season,SAS,POR,1,,,,,,,,,,,24,20,5,5,25,16,6,-32,-1,36,0.25
